OBJECTID,x,y
120,114.23798014684108,30.590506340739044
121,114.24736513042276,30.58565463529439
122,114.25672809436851,30.58086326596601
123,114.2660773526323,30.576101074517638
124,114.2754234776988,30.571329258264992
125,114.2847768258863,30.566510604105567
126,114.2941451576859,30.561618376157387
127,114.3035319130092,30.556642746694685
128,114.31293554348797,30.55159324052544
129,114.32235005215246,30.54649660715533
130,114.33176660463299,30.541390619243597
131,114.3411758229167,30.536315262595544
132,114.35057021189515,30.53130340241457
133,114.35994613783922,30.526373135256033
134,114.36930488358954,30.521523636251942
135,114.37865252293219,30.51673548174892
136,114.38799863551922,30.511975365743876
137,114.39735415849944,30.507204086716452
138,114.40672887704636,30.502385906928648
139,114.41612914426577,30.4974970625239
140,114.23271659516251,30.583610774381636
141,114.2421343077957,30.57852442351316
142,114.25152656197389,30.573509785409023
143,114.26089968118588,30.568543258330674
144,114.27026350073812,30.56358903485989
145,114.27962906255519,30.558607652102296
146,114.28900607029792,30.553565444286477
147,114.29840070590726,30.548442644899996
148,114.30781431950412,30.543238204563853
149,114.31724329477673,30.53797017120277
150,114.32668011175416,30.5326715352149
151,114.33611534473306,30.527382522716593
152,114.34554011209816,30.52214116679943
153,114.35494838863018,30.516974397766
154,114.3643386242328,30.51189177012939
155,114.37371427783984,30.506883316048327
156,114.3830831328685,30.50192203179042
157,114.39245555048899,30.496970400443654
158,114.40184207082021,30.49198939359158
159,114.41125092968859,30.486947805815
160,114.22744288159973,30.576739313652016
161,114.23689340481016,30.571416205180462
162,114.24631671612048,30.56617067936642
163,114.2557166821247,30.560988568672208
164,114.26510169659564,30.55583978555366
165,114.27448271738871,30.550685532281282
166,114.28387073830498,30.54548762542595
167,114.29327429500431,30.54021770420819
168,114.30269759247217,30.534864116968755
169,114.31213969068756,30.529434833087233
170,114.32159493149406,30.523955676987008
171,114.33105449390787,30.518464299567153
172,114.34050869745977,30.513001322709357
173,114.34994949679269,30.507600769819938
174,114.35937256688625,30.50228206705558
175,114.36877847695642,30.497045524554025
176,114.37817266886607,30.49187237455681
177,114.38756424142997,30.486729353346973
178,114.39696382783957,30.481576727614694
179,114.4063810716959,30.476377843232388
180,114.22215912999471,30.569890190864914
181,114.23164181887678,30.564331701844488
182,114.24109741301237,30.558850683139568
183,114.25052702290617,30.55344358695479
184,114.25993697844815,30.548088369747976
185,114.2693373593867,30.54274979241147
186,114.27873966991625,30.537387919214858
187,114.28815420993794,30.531967774473685
188,114.29758776506786,30.52646783527694
189,114.30704215867195,30.520885315721564
190,114.31651400154306,30.515236967020464
191,114.32599568835678,30.50955519427735
192,114.3354773932542,30.50388041612677
193,114.34494958029822,30.498251497098845
194,114.35440542390796,30.492696546769746
195,114.36384255782177,30.4872262924551
196,114.3732637328084,30.481831614231282
197,114.38267622489187,30.47648583118705
198,114.392090135326,30.471151186703263
199,114.40151598978997,30.46578797269528
200,114.2746650197356,30.63923489943446
201,114.28387719925516,30.635765566856623
202,114.29310527586765,30.632227072237804
203,114.30235288183155,30.628608206011258
204,114.311618859565,30.624915934064767
205,114.32089764984939,30.62117390425684
206,114.33018069595221,30.617417119283434
207,114.33945853706953,30.613683998207488
208,114.34872310729882,30.610007651144407
209,114.35796970980984,30.606408373381722
210,114.36719821033238,30.60288908445785
211,114.3764131725889,30.59943475919489
212,114.38562290043453,30.596015978031208
213,114.3948376022714,30.592595775453198
214,114.40406709556461,30.589138206543545
215,114.41331857650589,30.585616657305845
216,114.42259496698962,30.582019984972785
217,114.43189422040537,30.578355075567313
218,114.44120974872546,30.57464523176044
219,114.45053187595089,30.570924764175963
220,114.22744288159973,30.576739313652016
221,114.23689340481016,30.571416205180462
222,114.24631671612048,30.56617067936642
223,114.2557166821247,30.560988568672208
224,114.26510169659564,30.55583978555366
225,114.27448271738871,30.550685532281282
226,114.28387073830498,30.54548762542595
